FOLIO_INT,h0302,h0303,h0402,entidad1,desc_ent1,municipio1,desc_mun1,ponde_f,estrato
2022_09007040_01,2,61, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3582,28433180279",3
2022_09007040_02,1,70,20,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3854,79680298869",3
2022_09007040_03,1,35, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"5274,88982231677",3
2022_09007041_01,1,54, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3854,79680298869",3
2022_09007041_02,2,47, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3582,28433180279",3
2022_09007041_03,2,25, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"5546,36560743137",3
2022_09007041_04,1,22, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"5274,88982231677",3
2022_09007042_01,1,43, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"5274,88982231677",3
2022_09007042_02,2,45,38,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3582,28433180279",3
2022_09007042_03,2,24,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"5546,36560743137",3
2022_09007042_04,1,19, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4666,42916354773",3
2022_09007043_01,2,70,55,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3582,28433180279",3
2022_09007043_02,1,44, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"5274,88982231677",3
2022_09007043_03,2,43, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"5546,36560743137",3
2022_09007044_01,2,73, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3275,69595409895",3
2022_09007044_02,1,59, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3524,88555398085",3
2022_09007044_03,1,17, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4267,0546822368",3
2022_09007045_01,2,65, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3275,69595409895",3
2022_09007045_02,1,34, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4823,44047787661",3
2022_09007045_03,1,22, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4823,44047787661",3
2022_09007045_04,1,18, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4267,0546822368",3
2022_09007046_01,1,49,17,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3524,88555398085",3
2022_09007046_02,2,46,54,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3275,69595409895",3
2022_09007046_03,1,28,15,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4823,44047787661",3
2022_09007046_04,2,12, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4852,52645917924",3
2022_09007047_01,2,69,30,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3275,69595409895",3
2022_09007047_02,1,47, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3524,88555398085",3
2022_09007047_03,1,32, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4823,44047787661",3
2022_09007048_01,1,46,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3524,88555398085",3
2022_09007048_02,2,45, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3275,69595409895",3
2022_09007048_03,1,23, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4823,44047787661",3
2022_09007048_04,1,21, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4823,44047787661",3
